,year,trade_density,network_centrality,intra_regional_trade,num_countries
0,2007,0.19480225999999998,0.97566288,3548367.5,5
1,2008,0.193672316,0.97065546,4060256.0,5
2,2009,0.19073446400000002,0.9584989199999999,3438522.5999999996,5
3,2010,0.186892656,0.94721484,4329142.1,5
