,network_evolution,crisis_impact,regional_patterns
0,156493.85808595506,,
1,165447.3364561798,,
2,171720.8060994382,,
3,170283.2372707865,,
4,176566.4961286517,,
5,198964.74746573035,,
6,192872.4417938202,,
7,200337.77316011238,,
8,233222.3898674157,,
9,285719.89618595503,,
10,322468.20675056183,,
11,370728.32476067415,,
12,426210.5995522472,,
13,498133.5278466292,,
14,379446.3822601124,,
15,465020.0951376404,,
