,year,trade_density,network_centrality,intra_regional_trade,num_countries
0,2007,0.32831136666666666,0.9853466333333333,10122338.0,3
1,2008,0.3270558777777778,0.9818612,11192852.0,3
2,2009,0.3276836222222222,0.9834739666666666,8600227.0,3
3,2010,0.32768362222222225,0.9835944333333333,10451573.0,3
